model,log_loss,accuracy,balanced_accuracy,macro_f1
xgboost,1.7136482289192403,0.4462,0.13456377436171,0.12669166254978548
baseline_prior,1.8669957628308695,0.3663918306962311,0.09090909090909091,0.04875372861112612
random_forest,2.2342674502381055,0.25106666666666666,0.1769253863006471,0.13241654834455743
